spectrum_id,adduct,precursor_mz,compound_name,key,scaffold_group
CCMSLIB00012271214,[M+NH3+H]1+,255.149,CYHEPTAMIDE,APBVLLORZMAWKI,c1ccc2c(c1)CCc1ccccc1C2
CCMSLIB00012271215,[M-H2O+H]1+,485.252,1161925-41-2,YNIGIJNKAURBRK,c1ccc(Cn2cnc(-c3ccccc3)c2)cc1
CCMSLIB00012271216,[M+H]1+,605.345,Telinavir,ZILOOGIOHVCEKS,O=C(CNC(=O)c1ccc2ccccc2n1)NCCc1ccccc1
CCMSLIB00012271217,[M+Na]1+,627.327,Telinavir,ZILOOGIOHVCEKS,O=C(CNC(=O)c1ccc2ccccc2n1)NCCc1ccccc1
CCMSLIB00012271218,[M+H]1+,304.037,2-[2-(4-chlorophenyl)-5-(2-furyl)-4-oxazolyl]acetic acid,KOJIULHCZVCANA,c1ccc(-c2ncc(-c3ccco3)o2)cc1
CCMSLIB00012271223,[M+H]1+,1216.86,Cyclosporin G,ZMKGDQSIRSGUDJ,O=C1CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CN1
CCMSLIB00012271224,[M+H]1+,609.112,CB2R-IN-1,NHSFQIHOYMIPMW,O=S(=O)(c1cc2ccccc2n1S(=O)(=O)c1ccccn1)N1CCCCC1
CCMSLIB00012271225,[M+Na]1+,631.094,CB2R-IN-1,NHSFQIHOYMIPMW,O=S(=O)(c1cc2ccccc2n1S(=O)(=O)c1ccccn1)N1CCCCC1
CCMSLIB00012271226,[M+NH3+H]1+,1047.64,Temsirolimus,ZWYQUVBAZLHTHP,O=C1C=CCCCC(=O)CCCC=CC=CC=CCCC2CCCC(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(CCC2CCCCC2)C1
CCMSLIB00012271227,[M+Na]1+,1052.59,Temsirolimus,ZWYQUVBAZLHTHP,O=C1C=CCCCC(=O)CCCC=CC=CC=CCCC2CCCC(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(CCC2CCCCC2)C1
CCMSLIB00012271228,[M+H]1+,767.343,Grazoprevir,OBMNJSNZOWALQB,O=C1NCC(=O)N2CC(CC2C(=O)NC2(C(=O)NS(=O)(=O)C3CC3)CC2)Oc2nc3ccccc3nc2CCCCCC2CC2O1
CCMSLIB00012271229,[M+Na]1+,789.325,Grazoprevir,OBMNJSNZOWALQB,O=C1NCC(=O)N2CC(CC2C(=O)NC2(C(=O)NS(=O)(=O)C3CC3)CC2)Oc2nc3ccccc3nc2CCCCCC2CC2O1
