group_key,scaffold_group,precursor_mz,total_atom_count,rotatable_bonds,ring_count,aromatic_ring_count,rdbe,tpsa,heteroatom_fraction,n_N,n_O,n_S,n_halogen,source
QULLOTSYPAOTIW,O=C(Nc1cnccn1)[C@H](CC1CCCC1)c1ccccc1,408.1143,49.0,6.0,3.0,2.0,12.0,89.02,0.2962962962962963,3.0,3.0,1.0,1.0,LCSB
QWGDMFLQWFTERH,c1ccc2c(c1)N=C(N1CCNCC1)c1ccccc1O2,314.1055,38.0,0.0,4.0,2.0,11.0,36.86,0.22727272727272727,3.0,1.0,0.0,1.0,LCSB
QXKHYNVANLEOEG,O=c1ccc2cc3ccoc3cc2o1,217.0495,24.0,1.0,3.0,3.0,11.5,52.58,0.25,0.0,4.0,0.0,0.0,LCSB
QXWJDGMLSMFETH,O=C(NS(=O)(=O)/C=C/c1cccs1)c1ccccc1,389.9264,30.0,4.0,2.0,2.0,11.5,63.24,0.38095238095238093,1.0,3.0,2.0,2.0,LCSB
QYPNKSZPJQQLRK,O=C(NNC(=O)c1ccccc1)c1ccccc1,353.2224,54.0,3.0,2.0,2.0,10.0,49.410000000000004,0.15384615384615385,2.0,2.0,0.0,0.0,LCSB
QZCLKYGREBVARF,__ACYCLIC__QZCLKYGREBVARF,403.2326,62.0,15.0,0.0,0.0,4.0,105.2,0.2857142857142857,0.0,8.0,0.0,0.0,LCSB
QZXATCCPQKOEIH,O=S(=O)(Nc1ccccc1)c1nc2ccncn2n1,360.0373,32.0,4.0,3.0,3.0,13.0,98.47999999999999,0.5,5.0,3.0,1.0,3.0,LCSB
RCLXAPJEFHPYEG,O=C(N[C@@H]1CCOc2ccccc21)c1ccccc1,358.1449,46.0,3.0,3.0,2.0,11.0,75.63,0.23076923076923078,1.0,4.0,0.0,1.0,LCSB
RDCAZFAKCIEASQ,__ACYCLIC__RDCAZFAKCIEASQ,188.2009,38.0,10.0,0.0,0.0,0.0,35.25,0.15384615384615385,1.0,1.0,0.0,0.0,LCSB
RDJQCOBTKKAQAH,c1ccc(CCNC2CCc3ccccc3C2)cc1,404.1623,54.0,8.0,3.0,2.0,10.0,67.79,0.21428571428571427,1.0,4.0,0.0,1.0,LCSB
RFHAOTPXVQNOHP,c1ccc(C(Cn2cncn2)Cn2cncn2)cc1,307.1113,34.0,5.0,3.0,3.0,11.0,81.64999999999999,0.4090909090909091,6.0,1.0,0.0,2.0,LCSB
RGOVYLWUIBMPGK,c1ccccc1,294.2064,48.0,10.0,1.0,1.0,5.0,58.56,0.19047619047619047,1.0,3.0,0.0,0.0,LCSB
RIZMRRKBZQXFOY,__ACYCLIC__RIZMRRKBZQXFOY,384.9949,41.0,12.0,0.0,0.0,2.0,36.92,0.5263157894736842,0.0,4.0,4.0,0.0,LCSB
RJKCKKDSSSRYCB,c1ccccc1,234.1852,40.0,3.0,1.0,1.0,5.0,20.310000000000002,0.11764705882352941,1.0,1.0,0.0,0.0,LCSB
RQDJADAKIFFEKQ,c1ccc(CCC(Cn2cncn2)c2ccccc2)cc1,337.1215,41.0,6.0,3.0,3.0,13.5,54.5,0.20833333333333334,4.0,0.0,0.0,1.0,LCSB
RQUXYBHREKXNKT,c1ccccc1,228.1053,32.0,5.0,1.0,1.0,6.0,46.17,0.26666666666666666,1.0,2.0,1.0,0.0,LCSB
RQZAXGRLVPAYTJ,O=C1C=C2C=C[C@H]3[C@@H]4CCCC4CC[C@@H]3C2CC1,385.2373,60.0,2.0,4.0,0.0,9.0,60.440000000000005,0.14285714285714285,0.0,4.0,0.0,0.0,LCSB
RRKTZKIUPZVBMF,O=C1C[C@@H]2OCC=C3CN4CC[C@]56c7ccccc7N1[C@H]5[C@H]2[C@H]3C[C@H]46,395.1965,55.0,2.0,7.0,1.0,12.0,51.24,0.20689655172413793,2.0,4.0,0.0,0.0,LCSB
RRNIZKPFKNDSRS,c1ccccc1,398.0678,47.0,10.0,1.0,1.0,7.0,64.63,0.391304347826087,1.0,4.0,3.0,0.0,LCSB
RRVIAQKBTUQODI,c1ccc2scnc2c1,222.0696,26.0,1.0,2.0,2.0,8.0,45.230000000000004,0.3333333333333333,3.0,1.0,1.0,0.0,LCSB
RXCPQSJAVKGONC,O=S(=O)(Nc1ccccc1)c1nc2ncccn2n1,326.0518,31.0,3.0,3.0,3.0,13.0,89.25,0.45454545454545453,5.0,2.0,1.0,2.0,LCSB
RXZBMPWDPOLZGW,N=C1CCCCOC(=O)C[C@@H](O[C@H]2CCCCO2)C[C@@H](O[C@H]2CCCCO2)CCC1,837.5318,134.0,13.0,3.0,0.0,5.0,216.88999999999996,0.29310344827586204,2.0,15.0,0.0,0.0,LCSB
RYVIXQCRCQLFCM,c1cnc(Oc2cccc(Oc3ncccn3)c2)nc1,431.1197,49.0,9.0,3.0,3.0,13.0,144.24,0.3870967741935484,4.0,8.0,0.0,0.0,LCSB
RZILCCPWPBTYDO,c1ccccc1,233.0896,27.0,1.0,1.0,1.0,5.0,32.34,0.375,2.0,1.0,0.0,3.0,LCSB
SAPGTCDSBGMXCD,c1ccc(C(c2ccccc2)c2cncnc2)cc1,315.0695,34.0,3.0,3.0,3.0,12.0,46.010000000000005,0.22727272727272727,2.0,1.0,0.0,2.0,LCSB
SCABKEBYDRTODC,__ACYCLIC__SCABKEBYDRTODC,435.2952,72.0,23.0,0.0,0.0,2.0,89.52000000000001,0.26666666666666666,0.0,8.0,0.0,0.0,LCSB
SDMSCIWHRZJSRN,c1ccc(-c2ccno2)cc1,314.061,36.0,7.0,2.0,2.0,8.5,53.72,0.35,1.0,4.0,1.0,0.0,LCSB
SGUAFYQXFOLMHL,c1ccc(CCCNCCc2ccccc2)cc1,329.186,48.0,8.0,2.0,2.0,9.0,95.57999999999998,0.20833333333333334,2.0,3.0,0.0,0.0,LCSB
SJDACOMXKWHBOW,O=C1Nc2ccccc2C1(c1ccccc1)c1ccccc1,318.1125,39.0,2.0,4.0,3.0,14.0,69.56,0.16666666666666666,1.0,3.0,0.0,0.0,LCSB
SLDQOBRACOQXGE,c1ccccc1,191.1067,28.0,4.0,1.0,1.0,6.0,26.3,0.14285714285714285,0.0,2.0,0.0,0.0,LCSB
SNHRLVCMMWUAJD,O=C1C=CC2C(=C1)CC[C@@H]1C2CCC2CCC[C@H]21,477.2647,71.0,6.0,4.0,0.0,9.0,100.90000000000002,0.20588235294117646,0.0,6.0,0.0,1.0,LCSB
SNPPWIUOZRMYNY,c1ccccc1,240.115,34.0,3.0,1.0,1.0,5.0,29.1,0.1875,1.0,1.0,0.0,1.0,LCSB
SPNQRCTZKIBOAX,c1ccccc1,296.1605,42.0,5.0,1.0,1.0,6.0,98.31,0.3333333333333333,3.0,4.0,0.0,0.0,LCSB
STECJAGHUSJQJN,O=C(Cc1ccccc1)O[C@H]1C[C@@H]2N[C@H](C1)[C@H]1O[C@H]12,304.1543,43.0,4.0,4.0,1.0,8.0,62.3,0.22727272727272727,1.0,4.0,0.0,0.0,LCSB
STJLVHWMYQXCPB,c1ccc(C2(Cn3cncn3)OCCO2)cc1,342.0771,39.0,5.0,3.0,2.0,8.5,49.17,0.3181818181818182,3.0,2.0,0.0,2.0,LCSB
STMIIPIFODONDC,c1ccc(CCn2cncn2)cc1,314.0821,37.0,6.0,2.0,2.0,7.5,50.94,0.3,3.0,1.0,0.0,2.0,LCSB
STUSTWKEFDQFFZ,c1ccccc1,197.084,26.0,2.0,1.0,1.0,5.0,15.6,0.23076923076923078,2.0,0.0,0.0,1.0,LCSB
SWAJJKROCOJICG,c1ccccc1,208.0968,28.0,4.0,1.0,1.0,6.0,55.4,0.26666666666666666,1.0,3.0,0.0,0.0,LCSB
SYJGKVOENHZYMQ,O=S(=O)(Nc1nc2ccncn2n1)c1ccccc1,484.0709,46.0,8.0,3.0,3.0,13.0,116.94,0.5,5.0,5.0,1.0,5.0,LCSB
SZRPDCCEHVWOJX,c1ccc(Nc2ccncn2)cc1,324.0568,35.0,5.0,2.0,2.0,9.0,75.11000000000001,0.3333333333333333,3.0,2.0,1.0,1.0,LCSB
SZWKGOZKRMMLAJ,O=C(Nc1ccccc1)c1ccc2c(c1)CCCC2,352.1907,51.0,3.0,3.0,2.0,11.0,66.4,0.15384615384615385,1.0,3.0,0.0,0.0,LCSB
TVLSRXXIMLFWEO,O=C(NCCOc1ccccc1)n1ccnc1,376.0381,39.0,6.0,2.0,2.0,8.5,47.36,0.34782608695652173,3.0,2.0,0.0,3.0,LCSB
TVVXHFWWAYXBNC,O=C(Nc1nnn[nH]1)c1cc2ccccc2s1,334.0968,38.0,5.0,3.0,3.0,11.5,102.02,0.391304347826087,5.0,3.0,1.0,0.0,LCSB
TWFZGCMQGLPBSX,c1ccc2[nH]cnc2c1,192.0768,23.0,1.0,2.0,2.0,8.0,67.00999999999999,0.35714285714285715,3.0,2.0,0.0,0.0,LCSB
TWMFGCHRALXDAR,__ACYCLIC__TWMFGCHRALXDAR,285.29,56.0,14.0,0.0,0.0,1.0,32.34,0.15,2.0,1.0,0.0,0.0,LCSB
TWPMMLHBHPYSMT,c1ccc(Nc2ccccc2)cc1,184.1121,27.0,2.0,2.0,2.0,8.0,12.03,0.07142857142857142,1.0,0.0,0.0,0.0,LCSB
TZBPRYIIJAJUOY,c1cncnc1,334.1349,45.0,9.0,1.0,1.0,5.0,56.71,0.38095238095238093,3.0,3.0,1.0,0.0,LCSB
UACOXBQBNWQWOK,c1ccc(-c2ncoc2-c2ccc3nncn3c2)cc1,341.1208,39.0,3.0,4.0,4.0,14.5,56.22,0.28,4.0,1.0,0.0,2.0,LCSB
UAIUNKRWKOVEES,c1ccc(-c2ccccc2)cc1,241.1699,38.0,1.0,2.0,2.0,8.0,52.04,0.1111111111111111,2.0,0.0,0.0,0.0,LCSB
UBCKGWBNUIFUST,c1ccccc1,364.9065,28.0,5.0,1.0,1.0,6.0,44.760000000000005,0.47368421052631576,0.0,4.0,0.0,4.0,LCSB
UDKABVSQKJNZBH,C=C1CC2CC[C@@H]3C4CCC(=O)C=C4C=C[C@H]3[C@@H]2C1,397.2373,61.0,2.0,4.0,0.0,10.0,60.440000000000005,0.13793103448275862,0.0,4.0,0.0,0.0,LCSB
UFEODZBUAFNAEU,N=C(C1=NOCCO1)c1ccccc1Oc1cc(Oc2ccccc2)ncn1,459.0866,48.0,7.0,4.0,3.0,15.0,96.65000000000002,0.34375,4.0,5.0,0.0,2.0,LCSB
UHBUSMAHWHZQKS,O=C(NCc1ccccc1)c1cccnc1Oc1ccccc1,381.1609,49.0,6.0,3.0,3.0,13.0,71.45,0.21428571428571427,2.0,3.0,0.0,1.0,LCSB
UIKROCXWUNQSPJ,O=C1CC[C@@H](c2cccnc2)N1,177.1022,25.0,1.0,2.0,1.0,6.0,33.2,0.23076923076923078,2.0,1.0,0.0,0.0,LCSB
ULSLJYXHZDTLQK,O=c1oc2ccccc2cc1C1CCCc2ccccc21,293.1172,38.0,1.0,4.0,3.0,13.5,50.44,0.13636363636363635,0.0,3.0,0.0,0.0,LCSB
UNYCSANQWMNNCS,O=C(NCc1cccnc1)c1ccccc1C1C(=O)N(Cc2ccccc2)c2ccccc21,604.1764,73.0,9.0,5.0,4.0,19.0,71.97000000000001,0.21428571428571427,3.0,4.0,0.0,2.0,LCSB
UREBDLICKHMUKA,O=C1C=CC2C(=C1)CC[C@@H]1C2CCC2CCC[C@H]21,393.2072,57.0,2.0,4.0,0.0,8.0,94.83,0.21428571428571427,0.0,5.0,0.0,1.0,LCSB
USSIQXCVUWKGNF,c1ccc(Cc2ccccc2)cc1,310.2165,50.0,7.0,2.0,2.0,9.0,20.310000000000002,0.08695652173913043,1.0,1.0,0.0,0.0,LCSB
UVLBAPBHAHFJSY,c1ccc(C2=Nc3c[nH]nc3Nc3ccccc32)cc1,354.0752,37.0,2.0,4.0,3.0,14.5,96.21000000000001,0.32,5.0,2.0,0.0,1.0,LCSB
UWFYSQMTEOIJJG,O=C1C=C2C=C[C@H]3[C@@H]4CCCC4CC[C@@H]3C2[C@H]2C[C@@H]12,417.1827,58.0,2.0,5.0,0.0,10.0,60.440000000000005,0.1724137931034483,0.0,4.0,0.0,1.0,LCSB
UWVQIROCRJWDKL,O=C1OCCN1Nc1ccccc1,279.1339,38.0,4.0,2.0,1.0,7.0,59.080000000000005,0.3,2.0,4.0,0.0,0.0,LCSB
VAIZTNZGPYBOGF,c1ccc(Oc2ccccn2)cc1,384.1417,47.0,8.0,2.0,2.0,9.0,57.650000000000006,0.2962962962962963,1.0,4.0,0.0,3.0,LCSB
VAOCPAMSLUNLGC,c1c[nH]cn1,172.0717,21.0,3.0,1.0,1.0,4.5,81.19,0.5,3.0,3.0,0.0,0.0,LCSB
VBCVPMMZEGZULK,O=C(Nc1ccccc1)N1COC2Cc3ccccc3C2=N1,528.078,53.0,3.0,4.0,2.0,14.0,106.97,0.3888888888888889,3.0,7.0,0.0,4.0,LCSB
VDTNNGKXZGSZIP,c1ccccc1,272.1063,35.0,5.0,1.0,1.0,7.0,101.29,0.3888888888888889,3.0,3.0,1.0,0.0,LCSB
VEQOALNAAJBPNY,O=c1cc[nH]n1-c1ccccc1,189.1022,26.0,1.0,2.0,2.0,8.5,26.93,0.21428571428571427,2.0,1.0,0.0,0.0,LCSB
VGZSUPCWNCWDAN,O=C(NC1CCCCC1)NS(=O)(=O)c1ccccc1,325.1217,42.0,4.0,2.0,1.0,9.0,92.34,0.3181818181818182,2.0,4.0,1.0,0.0,LCSB
VHCNQEUWZYOAEV,O=c1[nH]cnnc1-c1ccccc1,203.0927,25.0,1.0,2.0,2.0,9.0,73.8,0.3333333333333333,4.0,1.0,0.0,0.0,LCSB
VHRSUDSXCMQTMA,O=C1C=CC2C(=C1)CC[C@H]1[C@@H]3CCCC3CC[C@H]21,375.2166,57.0,2.0,4.0,0.0,8.0,94.83000000000001,0.18518518518518517,0.0,5.0,0.0,0.0,LCSB
VIKNJXKGJWUCNN,O=C1C=C2CC[C@@H]3[C@H](CCC4CCC[C@H]43)[C@H]2CC1,299.2006,48.0,0.0,4.0,0.0,8.0,37.3,0.09090909090909091,0.0,2.0,0.0,0.0,LCSB
VKHAHZOOUSRJNA,O=C1C=C2CC[C@@H]3C(=C2CC1)[C@@H](c1ccccc1)CC1CCC[C@H]13,430.2741,67.0,2.0,5.0,1.0,13.0,40.54,0.09375,1.0,2.0,0.0,0.0,LCSB
VMXUWOKSQNHOCA,c1ccoc1,315.1485,43.0,10.0,1.0,1.0,5.5,83.58,0.38095238095238093,4.0,3.0,1.0,0.0,LCSB
VOVIALXJUBGFJZ,O=C1C=CC2C(=C1)CC[C@@H]1[C@@H]2CCC2C3OCO[C@@H]3C[C@H]21,431.2428,65.0,4.0,5.0,0.0,9.0,93.06000000000002,0.1935483870967742,0.0,6.0,0.0,0.0,LCSB
VTNQPKFIQCLBDU,c1ccccc1,270.1255,38.0,6.0,1.0,1.0,5.0,29.54,0.2222222222222222,1.0,2.0,0.0,1.0,LCSB
VUNOFAIHSALQQH,C1CCCCC1,212.2009,40.0,3.0,1.0,0.0,2.0,29.1,0.13333333333333333,1.0,1.0,0.0,0.0,LCSB
VVBLNCFGVYUYGU,O=C(c1ccccc1)c1ccccc1,269.1648,40.0,4.0,2.0,2.0,9.0,23.550000000000004,0.15,2.0,1.0,0.0,0.0,LCSB
VYBKAZXQKUFAHG,c1ccccc1,151.0866,21.0,1.0,1.0,1.0,5.0,69.11,0.2727272727272727,2.0,1.0,0.0,0.0,LCSB
VYUUPUMKBLIKJV,O=C(NCc1ccccc1)c1ccccc1NS(=O)(=O)c1cccc2cccnc12,464.1439,55.0,7.0,4.0,4.0,18.5,88.16000000000001,0.24242424242424243,3.0,3.0,1.0,1.0,LCSB
VZRKEAFHFMSHCD,__ACYCLIC__VZRKEAFHFMSHCD,216.1594,36.0,7.0,0.0,0.0,2.0,46.61,0.26666666666666666,1.0,3.0,0.0,0.0,LCSB
WCCIEZDFRJREQJ,c1ccccc1,179.0637,22.0,2.0,1.0,1.0,6.0,27.03,0.25,2.0,0.0,1.0,0.0,LCSB
WDQFELCEOPFLCZ,O=C1CCCN1,130.0863,20.0,2.0,1.0,0.0,2.0,40.54,0.3333333333333333,1.0,2.0,0.0,0.0,LCSB
WECDUOXQLAIPQW,c1ccc(Cc2ccccc2)cc1,227.1543,35.0,2.0,2.0,2.0,8.0,52.04,0.11764705882352941,2.0,0.0,0.0,0.0,LCSB
WFDXOXNFNRHQEC,c1ccc(Oc2cc(Oc3ccccc3)ncn2)cc1,404.1241,47.0,7.0,3.0,3.0,16.0,103.56,0.26666666666666666,3.0,5.0,0.0,0.0,LCSB
WGZDBVOTUVNQFP,c1ccc2cnncc2c1,233.1033,29.0,3.0,2.0,2.0,8.5,76.14,0.35294117647058826,4.0,2.0,0.0,0.0,LCSB
WJCNZQLZVWNLKY,c1ccc2[nH]c(-c3cscn3)nc2c1,202.0433,21.0,1.0,3.0,3.0,10.5,41.57,0.2857142857142857,3.0,0.0,1.0,0.0,LCSB
WKBPZYKAUNRMKP,c1ccc(CCn2cncn2)cc1,284.0716,33.0,5.0,2.0,2.0,7.5,30.71,0.2777777777777778,3.0,0.0,0.0,2.0,LCSB
WKSAUQYGYAYLPV,c1ccc(-c2cncnc2)cc1,249.0902,30.0,2.0,2.0,2.0,8.0,77.82,0.29411764705882354,4.0,0.0,0.0,1.0,LCSB
WMYINDVYGQKYMI,__ACYCLIC__WMYINDVYGQKYMI,251.1853,43.0,10.0,0.0,0.0,0.0,90.15,0.29411764705882354,0.0,5.0,0.0,0.0,LCSB
WPPOGHDFAVQKLN,O=C1CCCN1,198.1852,37.0,7.0,1.0,0.0,2.0,20.310000000000002,0.14285714285714285,1.0,1.0,0.0,0.0,LCSB
WRPIRSINYZBGPK,c1ccc(Oc2ccnc3ccccc23)cc1,308.004,28.0,2.0,3.0,3.0,11.5,22.12,0.25,1.0,1.0,0.0,3.0,LCSB
WTLBZVNBAKMVDP,__ACYCLIC__WTLBZVNBAKMVDP,399.2506,65.0,21.0,0.0,0.0,1.0,72.45000000000002,0.3076923076923077,0.0,7.0,0.0,0.0,LCSB
WTOYNNBCKUYIKC,O=C1C=C2CCCCC2CC1,219.1743,38.0,1.0,2.0,0.0,5.0,17.07,0.0625,0.0,1.0,0.0,0.0,LCSB
WTPSHLVHJOJDIF,c1ccc2c(c1)CN1CCCCCC1=N2,269.0607,31.0,0.0,3.0,1.0,7.0,15.6,0.23529411764705882,2.0,0.0,0.0,2.0,LCSB
WUADCCWRTIWANL,O=c1c(-c2ccccc2)coc2ccccc12,285.0757,33.0,2.0,3.0,3.0,12.5,79.9,0.23809523809523808,0.0,5.0,0.0,0.0,LCSB
WURBVZBTWMNKQT,c1ccc(OCn2cncn2)cc1,294.1004,36.0,4.0,2.0,2.0,8.5,57.010000000000005,0.3,3.0,2.0,0.0,1.0,LCSB
WUZNHSBFPPFULJ,c1ncnc(NC2CC2)n1,253.0963,30.0,4.0,2.0,1.0,7.0,86.52000000000001,0.4117647058823529,6.0,0.0,0.0,1.0,LCSB
WVQBLGZPHOPPFO,c1ccccc1,284.1412,41.0,6.0,1.0,1.0,5.0,29.54,0.21052631578947367,1.0,2.0,0.0,1.0,LCSB
WXWCDTXEKCVRRO,c1ccccc1,138.0913,21.0,1.0,1.0,1.0,4.0,35.25,0.2,1.0,1.0,0.0,0.0,LCSB
WXZVAROIGSFCFJ,c1ccc2ccccc2c1,272.1645,41.0,5.0,2.0,2.0,8.5,29.540000000000003,0.15,1.0,2.0,0.0,0.0,LCSB
WYEMLYFITZORAB,O=C(Nc1ccccc1-c1ccccc1)c1cccnc1,343.0399,35.0,3.0,3.0,3.0,13.0,41.99,0.21739130434782608,2.0,1.0,0.0,2.0,LCSB
WYKYKTKDBLFHCY,O=c1cccnn1-c1ccccc1,222.0429,23.0,1.0,2.0,2.0,9.0,60.910000000000004,0.3333333333333333,3.0,1.0,0.0,1.0,LCSB
WYWHKKSPHMUBEB,S=c1[nH]cnc2nc[nH]c12,168.0338,16.0,0.0,2.0,2.0,8.0,83.38,0.5454545454545454,5.0,0.0,1.0,0.0,LCSB
WYWZRNAHINYAEF,c1ccccc1,278.2115,47.0,8.0,1.0,1.0,5.0,29.54,0.15,1.0,2.0,0.0,0.0,LCSB
WZKXBGJNNCGHIC,c1ccc(C(c2ccccc2)c2ccccc2)cc1,331.2169,51.0,5.0,3.0,3.0,12.0,6.48,0.08,2.0,0.0,0.0,0.0,LCSB
XBZBRCVCSVLJJZ,c1ccc2c(c1)Cc1ccccc1-2,281.1285,37.0,2.0,3.0,2.0,11.0,58.2,0.19047619047619047,2.0,2.0,0.0,0.0,LCSB
