record_id,compound_id,scaffold_group,nce,theoretical_mh,source_file,blob_sha,series,instrument,scan_mode,deposited_precursor_mz
MSBNK-EAWAG-EC001501,MPGIDXBHXRMMSY,C1=NNOCC1,15,299.23291928687996,MSBNK-EAWAG-EC001501.txt,30952bd0aa4d4d8a8ff07124e01677ead140f23c,MSBNK-EAWAG-EC,Exploris 240 Thermo Scientific,first_mass_40,299.2329
MSBNK-EAWAG-EC001502,MPGIDXBHXRMMSY,C1=NNOCC1,20,299.23291928687996,MSBNK-EAWAG-EC001502.txt,a172f9ee0dc4d6b702bc306694a8e8bb5902411c,MSBNK-EAWAG-EC,Exploris 240 Thermo Scientific,first_mass_40,299.2329
MSBNK-EAWAG-EC001503,MPGIDXBHXRMMSY,C1=NNOCC1,25,299.23291928687996,MSBNK-EAWAG-EC001503.txt,1cd7be2c8111f2821cb1d6064f361ee20c6febdc,MSBNK-EAWAG-EC,Exploris 240 Thermo Scientific,first_mass_40,299.2329
MSBNK-EAWAG-EC001504,MPGIDXBHXRMMSY,C1=NNOCC1,30,299.23291928687996,MSBNK-EAWAG-EC001504.txt,686a374e788e6c2aa039db0c38d1628d223b1902,MSBNK-EAWAG-EC,Exploris 240 Thermo Scientific,first_mass_40,299.2329
MSBNK-EAWAG-EC001505,MPGIDXBHXRMMSY,C1=NNOCC1,40,299.23291928687996,MSBNK-EAWAG-EC001505.txt,13c372b776e2a578e9504f157c58376ffda706bc,MSBNK-EAWAG-EC,Exploris 240 Thermo Scientific,first_mass_40,299.2329
MSBNK-EAWAG-EC001506,MPGIDXBHXRMMSY,C1=NNOCC1,50,299.23291928687996,MSBNK-EAWAG-EC001506.txt,3c45bc199cd2a0a599397d79dccdfbf7f7e55cfe,MSBNK-EAWAG-EC,Exploris 240 Thermo Scientific,first_mass_40,299.2329
MSBNK-EAWAG-EC001507,MPGIDXBHXRMMSY,C1=NNOCC1,60,299.23291928687996,MSBNK-EAWAG-EC001507.txt,5f931c125b34862de8a745eff0f968146b10c996,MSBNK-EAWAG-EC,Exploris 240 Thermo Scientific,first_mass_40,299.2329
MSBNK-EAWAG-EC013701,YLSOIPHOXMRWGW,O=C1CCCCCNC(=O)C(CCc2ccccc2)NC(=O)CN1,15,560.3442606268799,MSBNK-EAWAG-EC013701.txt,f178530f5e0d2df781093fb6adb9b7aa642852d6,MSBNK-EAWAG-EC,Exploris 240 Thermo Scientific,first_mass_40,560.3443
MSBNK-EAWAG-EC013702,YLSOIPHOXMRWGW,O=C1CCCCCNC(=O)C(CCc2ccccc2)NC(=O)CN1,20,560.3442606268799,MSBNK-EAWAG-EC013702.txt,7e7bbef2192d47927dfc153201b3f368a0d818c1,MSBNK-EAWAG-EC,Exploris 240 Thermo Scientific,first_mass_40,560.3443
MSBNK-EAWAG-EC013703,YLSOIPHOXMRWGW,O=C1CCCCCNC(=O)C(CCc2ccccc2)NC(=O)CN1,25,560.3442606268799,MSBNK-EAWAG-EC013703.txt,f13b7622fc29318d8bdbe36328eacfe295fb1349,MSBNK-EAWAG-EC,Exploris 240 Thermo Scientific,first_mass_40,560.3443
