instrument_type,ce_decimals_class,ratio_near_int_tight,n_rows,n_unique_ce,slope,intercept,resid_sd,ce_over_mz_q05,ce_over_mz_q50,ce_over_mz_q95
<NA>,0,False,30,7,0.026422920690904298,14.116282243727973,7.992719445476058,0.03477537788096412,0.08185361458762293,0.22206609431198804
<NA>,4,True,2,2,,,,,,
<NA>,5plus,True,7,7,0.037529782846173254,8.966652371293712,11.971794089701422,0.04,0.05,0.12000000000000001
Orbitrap,0,False,58855,31,-0.029019336859570623,54.054262694737126,25.727712507621092,0.03621812119716956,0.10941709138734307,0.3643112594442634
Orbitrap,0,True,5,1,-0.0,0.0,0.0,0.0,0.0,0.0
Orbitrap,2,True,3,3,0.09129022164030397,-6.02409440172077,3.833126410886721,0.053000000000000005,0.08,0.08
Orbitrap,3,False,12,1,-1.5496569729319683e-16,80.205,6.6990611570507735e-15,0.26541573856922035,0.41811110926416883,0.5646577275140134
Orbitrap,3,True,64,32,0.15230796229695187,1.73229187728638,23.126199573640985,0.04150000000000001,0.13499999999999998,0.31699999999999995
Orbitrap,4,True,489,229,0.13710976711373388,1.1595641497436326,27.841190833381006,0.04400000000000002,0.12000000000000002,0.3
Orbitrap,5plus,False,22,8,0.12333999999999999,-8.500598653143633e-16,1.5320000590152876e-15,0.12333999999999999,0.12334,0.12334
Orbitrap,5plus,True,23548,9694,0.11407610871874073,0.2984045728461791,21.875889785325867,0.030000000000000002,0.1,0.24
QTOF,0,False,37158,35,-0.006829566125308253,35.974051237692294,29.698707710698933,0.013789027811061236,0.08767726719282454,0.3607321562716064
QTOF,0,True,190,1,0.0,-0.0,0.0,0.0,0.0,0.0
QTOF,1,False,847,79,0.008983622303766415,26.811097118241406,3.787118103696463,0.053739942036532894,0.09618153106851376,0.2684252457164699
QTOF,2,False,452,97,0.03046782160894409,16.93318975964644,0.8575124775552556,0.05961769772698233,0.09093341192699629,0.13386704732709936
QTOF,5plus,False,54,16,0.032734689700421524,16.46839710787585,0.6063458496902732,0.06912006405837412,0.08441151007315767,0.11496800575047181
QTOF,5plus,True,8,5,0.01877485967804891,51.09403479725874,24.333784870028406,0.05,0.24,0.24000000000000002
